MonitoringID,Year,Month,Day,rain_mm,Date_bomrainfall
BOM_087184,2020,1,1,0,1/01/2020
BOM_087184,2020,1,2,0,2/01/2020
BOM_087184,2020,1,3,0,3/01/2020
BOM_087184,2020,1,4,0,4/01/2020
BOM_087184,2020,1,5,1.2,5/01/2020
BOM_087184,2020,1,6,0.8,6/01/2020
BOM_087184,2020,1,7,0,7/01/2020
BOM_087184,2020,1,8,0.4,8/01/2020
BOM_087184,2020,1,9,0,9/01/2020
BOM_087184,2020,1,10,0,10/01/2020
BOM_087184,2020,1,11,12.2,11/01/2020
BOM_087184,2020,1,12,0,12/01/2020
BOM_087184,2020,1,13,0,13/01/2020
BOM_087184,2020,1,14,0,14/01/2020
BOM_087184,2020,1,15,0,15/01/2020
BOM_087184,2020,1,16,18,16/01/2020
BOM_087184,2020,1,17,0.8,17/01/2020
BOM_087184,2020,1,18,0,18/01/2020
BOM_087184,2020,1,19,0,19/01/2020
BOM_087184,2020,1,20,0,20/01/2020
BOM_087184,2020,1,21,0.8,21/01/2020
BOM_087184,2020,1,22,0,22/01/2020
BOM_087184,2020,1,23,34.6,23/01/2020
BOM_087184,2020,1,24,5.2,24/01/2020
BOM_087184,2020,1,25,0,25/01/2020
BOM_087184,2020,1,26,0,26/01/2020
BOM_087184,2020,1,27,0,27/01/2020
BOM_087184,2020,1,28,0,28/01/2020
BOM_087184,2020,1,29,0,29/01/2020
BOM_087184,2020,1,30,0,30/01/2020
BOM_087184,2020,1,31,0,31/01/2020
BOM_087184,2020,2,1,11.6,1/02/2020
BOM_087184,2020,2,2,12.6,2/02/2020
BOM_087184,2020,2,3,0.2,3/02/2020
BOM_087184,2020,2,4,0,4/02/2020
BOM_087184,2020,2,5,0,5/02/2020
BOM_087184,2020,2,6,0,6/02/2020
BOM_087184,2020,2,7,0,7/02/2020
BOM_087184,2020,2,8,0,8/02/2020
BOM_087184,2020,2,9,0,9/02/2020
BOM_087184,2020,2,10,0,10/02/2020
BOM_087184,2020,2,11,0,11/02/2020
BOM_087184,2020,2,12,1.4,12/02/2020
BOM_087184,2020,2,13,0.2,13/02/2020
BOM_087184,2020,2,14,0,14/02/2020
BOM_087184,2020,2,15,11.4,15/02/2020
BOM_087184,2020,2,16,0.6,16/02/2020
BOM_087184,2020,2,17,0,17/02/2020
BOM_087184,2020,2,18,2.2,18/02/2020
BOM_087184,2020,2,19,37.6,19/02/2020
BOM_087184,2020,2,20,2,20/02/2020
BOM_087184,2020,2,21,0.4,21/02/2020
BOM_087184,2020,2,22,0,22/02/2020
BOM_087184,2020,2,23,0,23/02/2020
BOM_087184,2020,2,24,0,24/02/2020
BOM_087184,2020,2,25,2.6,25/02/2020
BOM_087184,2020,2,26,0,26/02/2020
BOM_087184,2020,2,27,0.4,27/02/2020
BOM_087184,2020,2,28,0.2,28/02/2020
BOM_087184,2020,2,29,0,29/02/2020
BOM_087184,2020,3,1,0,1/03/2020
BOM_087184,2020,3,2,3,2/03/2020
BOM_087184,2020,3,3,0,3/03/2020
BOM_087184,2020,3,4,0,4/03/2020
BOM_087184,2020,3,5,17.4,5/03/2020
BOM_087184,2020,3,6,3,6/03/2020
BOM_087184,2020,3,7,0,7/03/2020
BOM_087184,2020,3,8,0,8/03/2020
BOM_087184,2020,3,9,0,9/03/2020
BOM_087184,2020,3,10,0,10/03/2020
BOM_087184,2020,3,11,0,11/03/2020
BOM_087184,2020,3,12,0,12/03/2020
BOM_087184,2020,3,13,0,13/03/2020
BOM_087184,2020,3,14,0,14/03/2020
BOM_087184,2020,3,15,0.8,15/03/2020
BOM_087184,2020,3,16,0,16/03/2020
BOM_087184,2020,3,17,0,17/03/2020
BOM_087184,2020,3,18,0,18/03/2020
BOM_087184,2020,3,19,0,19/03/2020
BOM_087184,2020,3,20,0,20/03/2020
BOM_087184,2020,3,21,0,21/03/2020
BOM_087184,2020,3,22,0,22/03/2020
BOM_087184,2020,3,23,0.2,23/03/2020
BOM_087184,2020,3,24,0,24/03/2020
BOM_087184,2020,3,25,0,25/03/2020
BOM_087184,2020,3,26,0.2,26/03/2020
BOM_087184,2020,3,27,0,27/03/2020
BOM_087184,2020,3,28,0,28/03/2020
BOM_087184,2020,3,29,0,29/03/2020
BOM_087184,2020,3,30,7,30/03/2020
BOM_087184,2020,3,31,0,31/03/2020
BOM_087184,2020,4,1,0,1/04/2020
BOM_087184,2020,4,2,17.6,2/04/2020
BOM_087184,2020,4,3,3.6,3/04/2020
BOM_087184,2020,4,4,24.2,4/04/2020
BOM_087184,2020,4,5,7,5/04/2020
BOM_087184,2020,4,6,5.4,6/04/2020
BOM_087184,2020,4,7,0,7/04/2020
BOM_087184,2020,4,8,1.2,8/04/2020
BOM_087184,2020,4,9,0.2,9/04/2020
BOM_087184,2020,4,10,0,10/04/2020
BOM_087184,2020,4,11,1,11/04/2020
BOM_087184,2020,4,12,1.4,12/04/2020
BOM_087184,2020,4,13,0,13/04/2020
BOM_087184,2020,4,14,0,14/04/2020
BOM_087184,2020,4,15,0,15/04/2020
BOM_087184,2020,4,16,0.8,16/04/2020
BOM_087184,2020,4,17,0,17/04/2020
BOM_087184,2020,4,18,0.6,18/04/2020
BOM_087184,2020,4,19,0,19/04/2020
