Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
233604,HOSPITAL SWAMP CONNE,2016/04/28 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,255,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/04/29 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/04/30 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/01 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/02 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/03 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/04 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/05 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/06 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/07 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/08 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/09 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/10 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/11 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/12 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/13 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/14 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/15 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/16 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,0.000,ppm,153,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/17 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,9.591,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/18 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,8.375,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/19 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,8.949,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/20 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,9.431,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/21 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,13.648,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/22 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,12.938,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/23 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,10.127,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/24 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.296,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/25 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,12.225,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/26 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,10.633,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/27 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.697,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/28 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,10.492,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/29 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.138,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/30 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.295,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/05/31 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.268,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/01 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,12.049,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/02 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.796,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/03 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,11.207,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/04 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,10.061,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/05 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,8.930,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/06 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,8.647,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/07 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,9.698,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/08 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,10.140,ppm,2,Daily Mean,
233604,HOSPITAL SWAMP CONNE,2016/06/09 00:00:00,Quantity,215.00,Dissolved Oxygen (DO),,9.917,ppm,2,Daily Mean,
