DateTime,Temp (deg),EC@25 (uS/cm),SensorID
16/05/2025 10:51,12.79,1657,Odyssey15014
16/05/2025 10:48,12.79,1367,Odyssey15013
16/05/2025 8:51,12.76,1653,Odyssey15014
16/05/2025 8:48,12.81,1367,Odyssey15013
16/05/2025 6:51,12.95,1653,Odyssey15014
16/05/2025 6:48,12.93,1371,Odyssey15013
16/05/2025 4:51,13.35,1657,Odyssey15014
16/05/2025 4:48,13.11,1350,Odyssey15013
16/05/2025 2:51,13.68,1660,Odyssey15014
16/05/2025 2:48,13.29,1333,Odyssey15013
16/05/2025 0:51,13.92,1667,Odyssey15014
16/05/2025 0:48,13.39,1329,Odyssey15013
15/05/2025 22:51,14.25,1657,Odyssey15014
15/05/2025 22:48,13.64,1312,Odyssey15013
15/05/2025 20:51,14.71,1664,Odyssey15014
15/05/2025 20:48,13.99,1281,Odyssey15013
15/05/2025 18:51,14.9,1657,Odyssey15014
15/05/2025 18:48,14.16,1267,Odyssey15013
15/05/2025 16:51,15.11,1643,Odyssey15014
15/05/2025 16:48,14.24,1267,Odyssey15013
15/05/2025 14:51,14.94,1657,Odyssey15014
15/05/2025 14:48,14.28,1260,Odyssey15013
15/05/2025 12:51,13.9,1677,Odyssey15014
15/05/2025 12:48,13.77,1288,Odyssey15013
15/05/2025 10:51,13.05,1698,Odyssey15014
15/05/2025 10:48,13.01,1361,Odyssey15013
15/05/2025 8:51,12.93,1684,Odyssey15014
15/05/2025 8:48,12.94,1361,Odyssey15013
15/05/2025 6:51,13.17,1691,Odyssey15014
15/05/2025 6:48,13.03,1354,Odyssey15013
15/05/2025 4:51,13.47,1695,Odyssey15014
15/05/2025 4:48,13.16,1350,Odyssey15013
15/05/2025 2:51,13.79,1698,Odyssey15014
15/05/2025 2:48,13.28,1343,Odyssey15013
15/05/2025 0:51,14.13,1705,Odyssey15014
15/05/2025 0:48,13.44,1333,Odyssey15013
14/05/2025 22:51,14.47,1708,Odyssey15014
14/05/2025 22:48,13.62,1323,Odyssey15013
14/05/2025 20:51,14.88,1664,Odyssey15014
14/05/2025 20:48,13.83,1309,Odyssey15013
14/05/2025 18:51,15.37,1650,Odyssey15014
14/05/2025 18:48,14.21,1291,Odyssey15013
14/05/2025 16:51,15.56,1657,Odyssey15014
14/05/2025 16:48,14.39,1285,Odyssey15013
14/05/2025 14:51,14.78,1650,Odyssey15014
14/05/2025 14:48,14.14,1285,Odyssey15013
14/05/2025 12:51,13.21,1729,Odyssey15014
14/05/2025 12:48,13.36,1336,Odyssey15013
14/05/2025 10:51,12.65,1742,Odyssey15014
14/05/2025 10:48,12.91,1374,Odyssey15013
14/05/2025 8:51,12.7,1736,Odyssey15014
14/05/2025 8:48,13.03,1381,Odyssey15013
14/05/2025 6:51,12.99,1732,Odyssey15014
14/05/2025 6:48,13.08,1354,Odyssey15013
14/05/2025 4:51,13.38,1729,Odyssey15014
14/05/2025 4:48,13.32,1340,Odyssey15013
14/05/2025 2:51,13.79,1722,Odyssey15014
14/05/2025 2:48,13.6,1319,Odyssey15013
14/05/2025 0:51,14.25,1681,Odyssey15014
14/05/2025 0:48,14,1295,Odyssey15013
13/05/2025 22:51,14.7,1684,Odyssey15014
13/05/2025 22:48,14.46,1264,Odyssey15013
13/05/2025 20:51,15.11,1684,Odyssey15014
13/05/2025 20:48,14.92,1233,Odyssey15013
13/05/2025 18:51,15.46,1684,Odyssey15014
13/05/2025 18:48,15.59,1208,Odyssey15013
13/05/2025 16:51,15.53,1671,Odyssey15014
13/05/2025 16:48,15.94,1177,Odyssey15013
